0;263
5;273
10;267
15;259
20;272
25;265
30;258
35;259
40;258
45;259
50;262
55;262
60;258
65;272
70;270
75;270
80;263
85;274
90;260
95;263
100;278
105;281
110;284
115;283
120;289
125;291
130;324
135;306
140;311
145;318
150;319
155;331
160;340
165;327
170;327
175;343
180;345
185;353
190;359
195;384
200;354
205;359
210;414
215;387
220;366
225;372
230;377
235;374
240;387
245;385
250;393
255;394
260;392
265;401
270;403
275;406
280;402
285;413
290;409
295;408
300;413
305;416
310;418
315;435
320;431
325;436
330;433
335;435
340;441
345;446
350;459
355;459
360;463
365;466
370;461
375;478
380;471
385;481
390;486
395;509
400;490
405;495
410;512
415;534
420;498
425;522
430;518
435;520
440;516
445;517
450;524
455;533
460;535
465;542
470;554
475;547
480;544
485;555
490;556
495;550
500;556
505;559
510;572
515;577
520;582
525;588
530;571
535;581
540;580
545;584
550;587
555;591
560;592
565;600
570;609
575;618
580;609
585;621
590;628
595;626
600;630
605;640
610;646
615;652
620;643
625;641
630;658
635;645
640;655
645;654
650;657
655;660
660;668
665;672
670;677
675;680
680;677
685;678
690;680
695;688
700;687
705;701
710;700
715;702
720;706
725;714
730;724
735;724
740;728
745;727
750;727
755;738
760;732
765;744
770;735
775;739
780;741
785;745
790;749
795;753
800;754
805;756
810;760
815;764
820;769
825;776
830;779
835;778
840;782
845;785
850;786
855;791
860;793
865;798
870;825
875;823
880;893
885;829
890;819
895;844
900;824
905;835
910;839
915;845
920;847
925;843
930;839
935;840
940;869
945;864
950;854
955;855
960;856
965;893
970;884
975;879
980;889
985;885
990;885
995;889
1000;918
1005;923
1010;897
1015;894
1020;897
1025;908
1030;924
1035;966
1040;1080
1045;1039
1050;1099
1055;1046
1060;1003
1065;933
1070;941
1075;949
1080;980
1085;964
1090;991
1095;1022
1100;1108
1105;980
1110;988
1115;980
1120;990
1125;991
1130;991
1135;983
1140;993
1145;992
1150;1003
1155;1004
1160;989
1165;1001
1170;1015
1175;1058
1180;1030
1185;1063
1190;1022
1195;1027
1200;1027
1205;1038
1210;1019
1215;1033
1220;1069
1225;1062
1230;1061
1235;1070
1240;1063
1245;1057
1250;1053
1255;1068
1260;1062
1265;1053
1270;1091
1275;1075
1280;1064
1285;1097
1290;1079
1295;1123
1300;1085
1305;1111
1310;1110
1315;1106
1320;1122
1325;1109
1330;1104
1335;1117
1340;1112
1345;1136
1350;1174
1355;1158
1360;1185
1365;1161
1370;1167
1375;1152
1380;1173
1385;1139
1390;1151
1395;1157
1400;1162
1405;1173
1410;1175
1415;1183
1420;1190
1425;1178
1430;1194
1435;1222
1440;1202
1445;1175
1450;1189
1455;1193
1460;1198
1465;1206
1470;1193
1475;1203
1480;1201
1485;1259
1490;1238
1495;1237
1500;1242
1505;1235
1510;1252
1515;1252
1520;1250
1525;1255
1530;1261
1535;1254
1540;1252
1545;1265
1550;1270
1555;1282
1560;1290
1565;1267
1570;1270
1575;1298
1580;1287
1585;1295
1590;1272
1595;1276
1600;1297
1605;1318
1610;1323
1615;1313
1620;1313
1625;1305
1630;1321
1635;1323
1640;1337
1645;1317
1650;1336
1655;1396
1660;1405
1665;1331
1670;1340
1675;1387
1680;1367
1685;1372
1690;1370
1695;1370
1700;1359
1705;1384
1710;1391
1715;1403
1720;1388
1725;1407
1730;1423
1735;1419
1740;1420
1745;1434
1750;1431
1755;1416
1760;1430
1765;1464
1770;1453
1775;1441
1780;1427
1785;1443
1790;1463
1795;1450
1800;1461
1805;1429
1810;1469
1815;1465
1820;1435
1825;1453
1830;1449
1835;1460
1840;1430
1845;1436
1850;1479
1855;1518
1860;1477
1865;1516
1870;1515
1875;1481
1880;1483
1885;1496
1890;1495
1895;1487
1900;1488
1905;1502
1910;1525
1915;1519
1920;1509
1925;1514
1930;1509
1935;1513
1940;1515
1945;1516
1950;1540
1955;1519
1960;1522
1965;1530
1970;1534
1975;1536
1980;1538
1985;1543
1990;1542
1995;1539
